reach,Probability,SE,CI_low,CI_high
2.091167096637851,0.18055757565025615,0.00863830224789245,0.15936481291741478,0.20388507441468964
2.150914727970361,0.17985837690323803,0.008611636821597605,0.1587330819897663,0.2031163604501837
2.210662359302871,0.1791558733603117,0.008584850116475288,0.158098347190057,0.2023440180328576
2.270409990635381,0.17845191866559945,0.008558015522725929,0.15746227700603227,0.20157009271953424
2.3301576219678912,0.17774834432042957,0.008531206433094579,0.15682651802254444,0.2007966082147137
2.3899052533004013,0.17704695951749305,0.008504495866051337,0.15619269563486715,0.2000255651402506
2.4496528846329113,0.17634955112072792,0.00847795614517055,0.15556241477416857,0.19925894010651665
2.5094005159654214,0.17565788379002314,0.008451658633912739,0.1549372606462903,0.1984986850821471
2.5691481472979314,0.1749737002497658,0.008425673524876191,0.15431879948524085,0.19774672705903565
2.6288957786304414,0.17429872170019808,0.008400069682475107,0.15370857932302226,0.1970049680088831
2.6886434099629515,0.17363464837050688,0.008374914537917926,0.1531081307775603,0.19627528512733303
2.7483910412954615,0.17298316021254107,0.008350274035303697,0.15251896786061095,0.19555953136153903
2.8081386726279716,0.1723459177340395,0.008326212627626384,0.15194258880756392,0.1948595362169099
2.867886303960481,0.17172456297025962,0.00830279332147834,0.15138047693105533,0.19417710683877737
2.927633935292991,0.17112072059292172,0.008280077769275626,0.15083410150024384,0.19351402936482595
2.9873815666255013,0.17053599915542939,0.008258126407890367,0.15030491864748363,0.19287207054432343
3.0471291979580113,0.16997199247339362,0.008236998642670338,0.14979437230395293,0.19225297962049812
3.1068768292905213,0.16943028113957403,0.008216753075953598,0.14930389516556097,0.19165849047282107
3.1666244606230314,0.16891243417246163,0.008197447779347205,0.148834909690162,0.19109032401648252
3.2263720919555414,0.168420010797857,0.008179140609233457,0.14838882912674858,0.19055019085698605
3.2861197232880515,0.16795456236295192,0.008161889565194657,0.14796705857688616,0.19003979419853537
3.3458673546205615,0.16751763438259465,0.008145753191306858,0.1475709960881774,0.18956083300574395
3.4056149859530715,0.16711076871761557,0.008130791020543015,0.14720203377902585,0.1891150054191576
3.4653626172855816,0.16673550588530445,0.008117064062844268,0.1468615589933938,0.18870401242613516
3.5251102486180916,0.16639338750236266,0.008104635337761385,0.14655095548363736,0.18832956178977608
3.5848578799506017,0.16608595886090866,0.008093570452933331,0.14627160461885508,0.18799337223980098
3.6446055112831117,0.1658147716383787,0.008083938230051099,0.1460248866155135,0.18769717793056825
3.7043531426156218,0.1655813867424493,0.008075811380346779,0.1458121817864338,0.1874427331727332
3.764100773948132,0.1653873772924,0.0080692672320427,0.1456348718035464,0.1872318174463927
